Date,size14sma
2019/06/06,24646
2019/06/07,24435
2019/06/08,24806
2019/06/09,24703
2019/06/10,24772
2019/06/11,24874
2019/06/12,24772
2019/06/13,24519
2019/06/14,24540
2019/06/15,24614
2019/06/16,24556
2019/06/17,24655
2019/06/18,24597
2019/06/19,24839
2019/06/20,25179
2019/06/21,25199
2019/06/22,24748
2019/06/23,24888
2019/06/24,24642
2019/06/25,24632
2019/06/26,24817
2019/06/27,25046
2019/06/28,25397
2019/06/29,25037
2019/06/30,24832
2019/07/01,24898
2019/07/02,25015
2019/07/03,24750
2019/07/04,24359
2019/07/05,24499
2019/07/06,24829
2019/07/07,25065
2019/07/08,25545
2019/07/09,25295
2019/07/10,24951
2019/07/11,25139
2019/07/12,24693
2019/07/13,24450
2019/07/14,24346
2019/07/15,24988
2019/07/16,25276
2019/07/17,25450
2019/07/18,25647
2019/07/19,25583
2019/07/20,24954
2019/07/21,24284
2019/07/22,23430
2019/07/23,23124
2019/07/24,23395
2019/07/25,23383
2019/07/26,23174
2019/07/27,23173
2019/07/28,23036
2019/07/29,21858
2019/07/30,21171
2019/07/31,20809
2019/08/01,20829
2019/08/02,20715
2019/08/03,21047
2019/08/04,21173
2019/08/05,21338
2019/08/06,21501
2019/08/07,21186
2019/08/08,20708
2019/08/09,20833
2019/08/10,20859
2019/08/11,20839
2019/08/12,20841
2019/08/13,20842
2019/08/14,20943
2019/08/15,20606
2019/08/16,20514
2019/08/17,20251
2019/08/18,20282
2019/08/19,20279
2019/08/20,20257
2019/08/21,20217
2019/08/22,20242
2019/08/23,20236
2019/08/24,20370
2019/08/25,20763
2019/08/26,21055
2019/08/27,21171
2019/08/28,21147
2019/08/29,21171
2019/08/30,21165
2019/08/31,21248
2019/09/01,21367
2019/09/02,21422
2019/09/03,21456
2019/09/04,21417
2019/09/05,21433
2019/09/06,21497
2019/09/07,21463
2019/09/08,21228
2019/09/09,21023
2019/09/10,20852
2019/09/11,20728
2019/09/12,20656
2019/09/13,20433
2019/09/14,20284
2019/09/15,20152
2019/09/16,19162
2019/09/17,17616
2019/09/18,16139
2019/09/19,14588
2019/09/20,13015
2019/09/21,11621
2019/09/22,10249
2019/09/23,8721
2019/09/24,7310
2019/09/25,5896
2019/09/26,4444
2019/09/27,3162
2019/09/28,1891
2019/09/29,584.612
2019/09/30,0
2019/10/01,0
2019/10/02,0
2019/10/03,0
2019/10/04,0
2019/10/05,0
2019/10/06,0
2019/10/07,0
2019/10/08,0
2019/10/09,0
2019/10/10,0
2019/10/11,0
2019/10/12,0
2019/10/13,0
2019/10/14,0
2019/10/15,0
2019/10/16,0
2019/10/17,0
2019/10/18,0
2019/10/19,0
2019/10/20,0
2019/10/21,0
2019/10/22,0
2019/10/23,0
2019/10/24,0
2019/10/25,0
2019/10/26,0
2019/10/27,0
2019/10/28,0
2019/10/29,0
