Date,difficulty30trx
2018/09/30,-0.137
2018/10/01,-0.137
2018/10/02,-0.137
2018/10/03,-0.136
2018/10/04,-0.136
2018/10/05,-0.134
2018/10/06,-0.133
2018/10/07,-0.131
2018/10/08,-0.128
2018/10/09,-0.125
2018/10/10,-0.122
2018/10/11,-0.119
2018/10/12,-0.116
2018/10/13,-0.114
2018/10/14,-0.111
2018/10/15,-0.109
2018/10/16,-0.107
2018/10/17,-0.106
2018/10/18,-0.104
2018/10/19,-0.102
2018/10/20,-0.101
2018/10/21,-0.101
2018/10/22,-0.101
2018/10/23,-0.101
2018/10/24,-0.102
2018/10/25,-0.103
2018/10/26,-0.105
2018/10/27,-0.106
2018/10/28,-0.108
2018/10/29,-0.11
2018/10/30,-0.112
2018/10/31,-0.114
2018/11/01,-0.116
2018/11/02,-0.119
2018/11/03,-0.122
2018/11/04,-0.125
2018/11/05,-0.129
2018/11/06,-0.132
2018/11/07,-0.135
2018/11/08,-0.138
2018/11/09,-0.141
2018/11/10,-0.144
2018/11/11,-0.146
2018/11/12,-0.148
2018/11/13,-0.149
2018/11/14,-0.15
2018/11/15,-0.15
2018/11/16,-0.15
2018/11/17,-0.15
2018/11/18,-0.15
2018/11/19,-0.149
2018/11/20,-0.15
2018/11/21,-0.152
2018/11/22,-0.156
2018/11/23,-0.16
2018/11/24,-0.166
2018/11/25,-0.173
2018/11/26,-0.18
2018/11/27,-0.19
2018/11/28,-0.202
2018/11/29,-0.216
2018/11/30,-0.231
2018/12/01,-0.246
2018/12/02,-0.262
2018/12/03,-0.278
2018/12/04,-0.294
2018/12/05,-0.31
2018/12/06,-0.325
2018/12/07,-0.34
2018/12/08,-0.355
2018/12/09,-0.371
2018/12/10,-0.385
2018/12/11,-0.399
2018/12/12,-0.413
2018/12/13,-0.427
2018/12/14,-0.441
2018/12/15,-0.454
2018/12/16,-0.467
2018/12/17,-0.479
2018/12/18,-0.491
2018/12/19,-0.501
2018/12/20,-0.51
2018/12/21,-0.518
2018/12/22,-0.524
2018/12/23,-0.529
2018/12/24,-0.532
2018/12/25,-0.532
2018/12/26,-0.53
2018/12/27,-0.524
2018/12/28,-0.517
2018/12/29,-0.509
2018/12/30,-0.5
2018/12/31,-0.489
2019/01/01,-0.477
2019/01/02,-0.466
2019/01/03,-0.452
2019/01/04,-0.437
2019/01/05,-0.42
2019/01/06,-0.401
2019/01/07,-0.381
2019/01/08,-0.359
2019/01/09,-0.337
2019/01/10,-0.314
2019/01/11,-0.292
2019/01/12,-0.27
2019/01/13,-0.248
2019/01/14,-0.228
2019/01/15,-0.207
2019/01/16,-0.188
2019/01/17,-0.17
2019/01/18,-0.153
2019/01/19,-0.137
