Date,mediantransactionvalue30wmaUSD
2018/06/13,0.114
2018/06/14,0.112
2018/06/15,0.106
2018/06/16,0.096
2018/06/17,0.087
2018/06/18,0.079
2018/06/19,0.071
2018/06/20,0.064
2018/06/21,0.057
2018/06/22,0.054
2018/06/23,0.047
2018/06/24,0.045
2018/06/25,0.041
2018/06/26,0.036
2018/06/27,0.031
2018/06/28,0.029
2018/06/29,0.03
2018/06/30,0.026
2018/07/01,0.024
2018/07/02,1.239
2018/07/03,1.197
2018/07/04,2.406
2018/07/05,2.577
2018/07/06,3.336
2018/07/07,3.397
2018/07/08,3.28
2018/07/09,3.153
2018/07/10,3.026
2018/07/11,2.9
2018/07/12,2.773
2018/07/13,2.647
2018/07/14,2.546
2018/07/15,2.661
2018/07/16,2.526
2018/07/17,2.391
2018/07/18,2.256
2018/07/19,2.121
2018/07/20,1.986
2018/07/21,1.851
2018/07/22,1.716
2018/07/23,1.582
2018/07/24,1.447
2018/07/25,1.312
2018/07/26,1.177
2018/07/27,1.042
2018/07/28,0.908
2018/07/29,0.773
2018/07/30,0.639
2018/07/31,0.505
2018/08/01,0.371
2018/08/02,0.277
2018/08/03,0.183
2018/08/04,0.131
2018/08/05,0.087
2018/08/06,0.072
2018/08/07,0.219
2018/08/08,1.649
2018/08/09,2.749
2018/08/10,3.145
2018/08/11,3.028
2018/08/12,2.91
2018/08/13,2.792
2018/08/14,2.679
2018/08/15,2.57
2018/08/16,2.461
2018/08/17,2.774
2018/08/18,2.651
2018/08/19,2.528
2018/08/20,2.405
2018/08/21,2.282
2018/08/22,2.159
2018/08/23,2.04
2018/08/24,1.928
2018/08/25,1.809
2018/08/26,1.688
2018/08/27,1.565
2018/08/28,1.46
2018/08/29,1.341
2018/08/30,1.219
2018/08/31,1.107
2018/09/01,0.982
2018/09/02,0.857
2018/09/03,0.735
2018/09/04,0.631
2018/09/05,0.531
2018/09/06,0.521
2018/09/07,0.405
2018/09/08,0.328
2018/09/09,0.289
2018/09/10,0.286
2018/09/11,0.271
2018/09/12,0.255
2018/09/13,0.257
2018/09/14,0.254
2018/09/15,0.235
2018/09/16,0.216
2018/09/17,0.209
2018/09/18,0.211
2018/09/19,0.254
2018/09/20,0.307
2018/09/21,0.473
2018/09/22,0.498
2018/09/23,0.497
2018/09/24,0.565
2018/09/25,0.581
2018/09/26,0.595
2018/09/27,0.665
2018/09/28,0.735
2018/09/29,0.803
2018/09/30,0.825
2018/10/01,0.875
2018/10/02,0.85
2018/10/03,0.806
2018/10/04,0.766
2018/10/05,0.723
2018/10/06,0.682
2018/10/07,0.645
2018/10/08,0.609
2018/10/09,0.571
2018/10/10,0.542
2018/10/11,0.506
2018/10/12,0.469
2018/10/13,0.432
2018/10/14,0.396
2018/10/15,0.368
2018/10/16,0.335
2018/10/17,0.301
2018/10/18,0.265
2018/10/19,0.231
2018/10/20,0.198
2018/10/21,0.168
2018/10/22,0.143
2018/10/23,0.123
2018/10/24,0.145
2018/10/25,0.136
2018/10/26,0.132
2018/10/27,0.113
2018/10/28,0.1
2018/10/29,0.09
2018/10/30,0.081
2018/10/31,0.075
2018/11/01,0.071
2018/11/02,0.067
2018/11/03,0.064
2018/11/04,0.06
2018/11/05,0.064
2018/11/06,0.06
2018/11/07,0.056
2018/11/08,0.052
2018/11/09,0.062
2018/11/10,0.06
2018/11/11,0.056
2018/11/12,0.054
2018/11/13,0.051
2018/11/14,0.063
2018/11/15,0.095
2018/11/16,0.09
2018/11/17,0.085
2018/11/18,0.079
2018/11/19,0.137
2018/11/20,0.139
2018/11/21,0.131
2018/11/22,0.123
2018/11/23,0.116
2018/11/24,0.109
2018/11/25,0.108
2018/11/26,0.103
2018/11/27,0.097
2018/11/28,0.092
2018/11/29,0.087
2018/11/30,0.089
2018/12/01,0.084
2018/12/02,0.079
2018/12/03,0.075
2018/12/04,0.07
2018/12/05,0.064
2018/12/06,0.059
2018/12/07,0.06
2018/12/08,0.057
2018/12/09,0.053
2018/12/10,0.05
2018/12/11,0.045
2018/12/12,0.04
2018/12/13,0.035
2018/12/14,0.03
2018/12/15,0.025
2018/12/16,0.023
2018/12/17,0.02
2018/12/18,0.017
2018/12/19,0.013
2018/12/20,0.012
2018/12/21,0.011
2018/12/22,0.01
2018/12/23,0.009
2018/12/24,0.009
2018/12/25,0.008
2018/12/26,0.007
2018/12/27,0.006
2018/12/28,0.005
2018/12/29,0.005
2018/12/30,0.013
2018/12/31,0.012
2019/01/01,0.011
2019/01/02,0.011
2019/01/03,0.01
2019/01/04,0.009
2019/01/05,0.008
2019/01/06,0.008
2019/01/07,0.007
2019/01/08,0.008
2019/01/09,0.007
2019/01/10,0.007
2019/01/11,0.007
2019/01/12,0.007
2019/01/13,0.006
2019/01/14,0.021
2019/01/15,0.031
2019/01/16,0.029
2019/01/17,0.028
2019/01/18,0.027
2019/01/19,0.026
2019/01/20,0.025
2019/01/21,0.023
2019/01/22,0.022
2019/01/23,0.021
2019/01/24,0.02
2019/01/25,0.019
2019/01/26,0.017
2019/01/27,0.016
2019/01/28,0.019
2019/01/29,0.017
2019/01/30,0.016
2019/01/31,0.015
2019/02/01,0.014
2019/02/02,0.013
2019/02/03,0.012
2019/02/04,0.011
2019/02/05,0.01
2019/02/06,0.009
2019/02/07,0.008
2019/02/08,0.007
2019/02/09,0.006
2019/02/10,0.005
2019/02/11,0.004
2019/02/12,0.003
2019/02/13,0.002
2019/02/14,0.002
2019/02/15,0.002
2019/02/16,0.001
2019/02/17,0.001
2019/02/18,0.002
2019/02/19,0.002
2019/02/20,0.001
