Date,mediantransactionvalueUSD
2018/03/06,11.338
2018/03/07,40.929
2018/03/08,6.636
2018/03/09,13.621
2018/03/10,5.793
2018/03/11,0
2018/03/12,3.218
2018/03/13,0.278
2018/03/14,6.608
2018/03/15,5.42
2018/03/16,0.305
2018/03/17,0.293
2018/03/18,0.254
2018/03/19,3.237
2018/03/20,0.272
2018/03/21,0.569
2018/03/22,5.486
2018/03/23,5.244
2018/03/24,13.169
2018/03/25,2.613
2018/03/26,5
2018/03/27,3.864
2018/03/28,3.614
2018/03/29,10.04
2018/03/30,3.862
2018/03/31,0.353
2018/04/01,0.383
2018/04/02,0.386
2018/04/03,0.402
2018/04/04,0.0391
2018/04/05,0.0303
2018/04/06,0.0298
2018/04/07,0.0769
2018/04/08,0.0316
2018/04/09,0.202
2018/04/10,0.525
2018/04/11,0.0315
2018/04/12,0.0946
2018/04/13,0.223
2018/04/14,0
2018/04/15,0.039
2018/04/16,0.256
2018/04/17,0.0205
2018/04/18,0.0433
2018/04/19,0
2018/04/20,0
2018/04/21,0.0605
2018/04/22,0.0934
2018/04/23,0.333
2018/04/24,0.145
2018/04/25,0.058
2018/04/26,0
2018/04/27,0
2018/04/28,0
2018/04/29,0
2018/04/30,0.545
2018/05/01,0.269
2018/05/02,0.538
2018/05/03,0.857
2018/05/04,95.198
2018/05/05,0.954
2018/05/06,2.23
2018/05/07,0.133
2018/05/08,0.0749
2018/05/09,0.074
2018/05/10,0
2018/05/11,0.294
2018/05/12,0
2018/05/13,0.0563
2018/05/14,2.156
2018/05/15,0.376
2018/05/16,0.266
2018/05/17,0.42
2018/05/18,0.597
2018/05/19,0
2018/05/20,0
2018/05/21,0.382
2018/05/22,0
2018/05/23,0.369
2018/05/24,0.352
2018/05/25,0.00528
2018/05/26,0
2018/05/27,0
2018/05/28,0.538
2018/05/29,0
2018/05/30,0.45
2018/05/31,0.751
2018/06/01,0.231
2018/06/02,0
2018/06/03,0
2018/06/04,0.0723
2018/06/05,5.95E-5
2018/06/06,0.184
2018/06/07,0
2018/06/08,0
2018/06/09,0
2018/06/10,0
2018/06/11,0.048
2018/06/12,0
2018/06/13,0
2018/06/14,0.134
2018/06/15,0.0691
2018/06/16,0
2018/06/17,0
2018/06/18,0
2018/06/19,0
2018/06/20,0
2018/06/21,5.34E-5
2018/06/22,0.0588
2018/06/23,4.71E-5
2018/06/24,0.0496
2018/06/25,0.0229
2018/06/26,0.0144
2018/06/27,0
2018/06/28,0.0436
2018/06/29,0.0876
2018/06/30,0
2018/07/01,0
2018/07/02,18.854
2018/07/03,0
2018/07/04,19.402
2018/07/05,3.951
2018/07/06,13.189
2018/07/07,2.818
2018/07/08,0.133
2018/07/09,0
2018/07/10,0
2018/07/11,0
2018/07/12,0
2018/07/13,0
2018/07/14,0.397
2018/07/15,3.752
2018/07/16,0
2018/07/17,0
2018/07/18,0
2018/07/19,0
2018/07/20,0.00459
2018/07/21,0.0046
2018/07/22,0
2018/07/23,0
2018/07/24,0
2018/07/25,0
2018/07/26,0
2018/07/27,0
2018/07/28,0
2018/07/29,0
2018/07/30,0
2018/07/31,0.0178
2018/08/01,0
2018/08/02,0
2018/08/03,0
2018/08/04,0
2018/08/05,0
2018/08/06,0
2018/08/07,2.419
2018/08/08,22.387
2018/08/09,18.013
2018/08/10,7.711
2018/08/11,0
2018/08/12,0
2018/08/13,0
2018/08/14,0.0475
2018/08/15,0
2018/08/16,0
2018/08/17,6.534
2018/08/18,0
2018/08/19,0
2018/08/20,0
2018/08/21,0
2018/08/22,0
2018/08/23,0.0574
2018/08/24,0.166
2018/08/25,0.0738
2018/08/26,0.0411
2018/08/27,0
2018/08/28,0.288
2018/08/29,0.0859
2018/08/30,0.0282
2018/08/31,0.197
2018/09/01,0
2018/09/02,0
2018/09/03,0.0435
2018/09/04,0.316
2018/09/05,0.397
2018/09/06,1.809
2018/09/07,0.15
2018/09/08,0
2018/09/09,0
2018/09/10,0.283
2018/09/11,0.128
2018/09/12,0.102
2018/09/13,0.394
2018/09/14,0.32
2018/09/15,0.0787
2018/09/16,0.0957
2018/09/17,0.0564
2018/09/18,0.203
2018/09/19,0.838
2018/09/20,1.04
2018/09/21,2.806
2018/09/22,0.722
2018/09/23,0.341
2018/09/24,1.418
2018/09/25,0.643
2018/09/26,0.645
2018/09/27,1.532
2018/09/28,1.582
2018/09/29,1.591
2018/09/30,0.932
2018/10/01,1.384
2018/10/02,0.274
2018/10/03,0
2018/10/04,0.0433
2018/10/05,0
2018/10/06,0.00235
2018/10/07,0.0134
2018/10/08,0.0202
2018/10/09,0
2018/10/10,0.135
2018/10/11,0.0251
2018/10/12,0
2018/10/13,0
2018/10/14,0
2018/10/15,0.105
2018/10/16,0.0365
2018/10/17,0.0132
2018/10/18,0
2018/10/19,0
2018/10/20,0.0109
2018/10/21,0
2018/10/22,0
2018/10/23,0.0409
2018/10/24,0.698
2018/10/25,0.189
2018/10/26,0.244
2018/10/27,0
2018/10/28,0.0404
2018/10/29,0.0368
2018/10/30,0
2018/10/31,0.0252
2018/11/01,0
2018/11/02,0
2018/11/03,0
2018/11/04,0
2018/11/05,0.105
2018/11/06,0
2018/11/07,0
2018/11/08,0
2018/11/09,0.211
2018/11/10,0.0202
2018/11/11,0
2018/11/12,0.0233
2018/11/13,0.0231
2018/11/14,0.234
2018/11/15,0.571
2018/11/16,0
2018/11/17,0
2018/11/18,0
2018/11/19,0.978
2018/11/20,0.138
2018/11/21,0
2018/11/22,0
2018/11/23,0
2018/11/24,0
2018/11/25,0.0597
2018/11/26,0.00678
2018/11/27,0
2018/11/28,0
2018/11/29,0
2018/11/30,0.116
2018/12/01,0
2018/12/02,0
2018/12/03,0.0308
2018/12/04,0
2018/12/05,0
2018/12/06,0
2018/12/07,0.0879
2018/12/08,0.0458
2018/12/09,0.0188
2018/12/10,0.0279
2018/12/11,0
2018/12/12,0
2018/12/13,0
2018/12/14,0
2018/12/15,0
2018/12/16,0.0197
2018/12/17,0
2018/12/18,0
2018/12/19,0
2018/12/20,0
2018/12/21,0
2018/12/22,0
2018/12/23,1.3E-5
2018/12/24,0
2018/12/25,0
2018/12/26,0
2018/12/27,0
2018/12/28,0
2018/12/29,0
2018/12/30,0.138
2018/12/31,0
2019/01/01,0
2019/01/02,0
2019/01/03,0
2019/01/04,0
2019/01/05,0
2019/01/06,0
2019/01/07,0.000743
2019/01/08,0.0135
2019/01/09,0
2019/01/10,0
2019/01/11,0.0102
2019/01/12,0
2019/01/13,0
2019/01/14,0.24
2019/01/15,0.159
2019/01/16,0
2019/01/17,0
2019/01/18,0
2019/01/19,0
2019/01/20,0
2019/01/21,0
2019/01/22,0
2019/01/23,0
2019/01/24,0
2019/01/25,0
2019/01/26,0
2019/01/27,0
2019/01/28,0.0587
2019/01/29,0
2019/01/30,0
2019/01/31,0
2019/02/01,0
2019/02/02,0
2019/02/03,0
2019/02/04,0
2019/02/05,0
2019/02/06,0
2019/02/07,0
2019/02/08,0
2019/02/09,0
2019/02/10,0
2019/02/11,0
2019/02/12,0
2019/02/13,0
2019/02/14,0
2019/02/15,0
2019/02/16,0
2019/02/17,0
2019/02/18,0.00956
2019/02/19,0
2019/02/20,0
2019/02/21,0
2019/02/22,0
2019/02/23,0
2019/02/24,0
2019/02/25,0
2019/02/26,0
2019/02/27,0
2019/02/28,0
2019/03/01,0
2019/03/02,0
2019/03/03,0
2019/03/04,0
2019/03/05,0
2019/03/06,0
2019/03/07,0
2019/03/08,0
2019/03/09,0
2019/03/10,0
2019/03/11,0
2019/03/12,0
2019/03/13,0
2019/03/14,0
2019/03/15,0
2019/03/16,0
2019/03/17,0
2019/03/18,0
2019/03/19,0
2019/03/20,0
2019/03/21,0
2019/03/22,0
2019/03/23,0
2019/03/24,0
2019/03/25,0
2019/03/26,0.000134
2019/03/27,0
2019/03/28,0
2019/03/29,0
2019/03/30,0
2019/03/31,0
2019/04/01,0
2019/04/02,0
2019/04/03,0
2019/04/04,0
2019/04/05,0
2019/04/06,0
2019/04/07,0.0317
2019/04/08,0.044
2019/04/09,0.0354
2019/04/10,0
2019/04/11,0
2019/04/12,0.0782
2019/04/13,0.019
2019/04/14,0
2019/04/15,0.0124
2019/04/16,0
2019/04/17,0
2019/04/18,0
2019/04/19,0
2019/04/20,0
2019/04/21,0
2019/04/22,0
2019/04/23,0
2019/04/24,0
2019/04/25,0
2019/04/26,0
2019/04/27,0
2019/04/28,0
2019/04/29,0
2019/04/30,0
2019/05/01,0
2019/05/02,0
2019/05/03,0
2019/05/04,0
2019/05/05,0
2019/05/06,0
2019/05/07,0
2019/05/08,0
2019/05/09,0
2019/05/10,0
2019/05/11,0
2019/05/12,0
2019/05/13,0
2019/05/14,0
2019/05/15,0
2019/05/16,0.0705
2019/05/17,0
2019/05/18,0
2019/05/19,0
2019/05/20,0
2019/05/21,0
2019/05/22,0
2019/05/23,0
2019/05/24,0
2019/05/25,0
2019/05/26,0
2019/05/27,0
2019/05/28,0
2019/05/29,0
2019/05/30,0
2019/05/31,0
2019/06/01,0
2019/06/02,0
2019/06/03,0
2019/06/04,0
2019/06/05,0
2019/06/06,0
2019/06/07,0
2019/06/08,0
2019/06/09,0
2019/06/10,0
2019/06/11,0
2019/06/12,0.192
2019/06/13,0
2019/06/14,0
2019/06/15,0
2019/06/16,0.184
2019/06/17,0
2019/06/18,0
2019/06/19,0
2019/06/20,0
2019/06/21,0
2019/06/22,0
2019/06/23,0
2019/06/24,0
2019/06/25,0
2019/06/26,0
2019/06/27,0
2019/06/28,0
2019/06/29,0
2019/06/30,0
2019/07/01,0
2019/07/02,0
2019/07/03,0
2019/07/04,0
2019/07/05,0
2019/07/06,0
2019/07/07,0
2019/07/08,0
2019/07/09,0
2019/07/10,0
2019/07/11,0
2019/07/12,0
2019/07/13,0
2019/07/14,0
2019/07/15,0
2019/07/16,0
2019/07/17,0
2019/07/18,0
2019/07/19,0
2019/07/20,0
2019/07/21,0
2019/07/22,0
2019/07/23,0
2019/07/24,0
2019/07/25,0
2019/07/26,0
2019/07/27,0
2019/07/28,0
2019/07/29,0
2019/07/30,0
2019/07/31,0
2019/08/01,0
2019/08/02,0
2019/08/03,0
2019/08/04,0
2019/08/05,0
2019/08/06,0
2019/08/07,0
2019/08/08,0
2019/08/09,0
2019/08/10,0
2019/08/11,0
2019/08/12,0
2019/08/13,0
2019/08/14,0
2019/08/15,0
