Date,transactionvalue7emaUSD
2018/08/26,607.052
2018/08/27,628.298
2018/08/28,641.895
2018/08/29,690.686
2018/08/30,688.49
2018/08/31,699.664
2018/09/01,654.304
2018/09/02,599.672
2018/09/03,655.992
2018/09/04,849.433
2018/09/05,898.876
2018/09/06,966.416
2018/09/07,970.936
2018/09/08,935.056
2018/09/09,891.695
2018/09/10,884.579
2018/09/11,876.485
2018/09/12,949.232
2018/09/13,919.911
2018/09/14,911.225
2018/09/15,847.518
2018/09/16,780.519
2018/09/17,772.434
2018/09/18,764.072
2018/09/19,733.047
2018/09/20,749.806
2018/09/21,869.803
2018/09/22,853.268
2018/09/23,819.987
2018/09/24,847.508
2018/09/25,829.982
2018/09/26,823.512
2018/09/27,798.493
2018/09/28,789.908
2018/09/29,778.688
2018/09/30,748.096
2018/10/01,712.79
2018/10/02,662.553
2018/10/03,654.533
2018/10/04,650.858
2018/10/05,627.06
2018/10/06,572.838
2018/10/07,539.575
2018/10/08,575.378
2018/10/09,582.856
2018/10/10,599.653
2018/10/11,723.858
2018/10/12,719.246
2018/10/13,649.281
2018/10/14,600.56
2018/10/15,762.716
2018/10/16,777.936
2018/10/17,758.323
2018/10/18,784.6
2018/10/19,730.499
2018/10/20,686.585
2018/10/21,715.947
2018/10/22,679.027
2018/10/23,666.117
2018/10/24,657.417
2018/10/25,701.806
2018/10/26,685.673
2018/10/27,615.793
2018/10/28,563.563
2018/10/29,584.722
2018/10/30,573.356
2018/10/31,576.739
2018/11/01,569.054
2018/11/02,599.168
2018/11/03,557.901
2018/11/04,570.911
2018/11/05,639.886
2018/11/06,646.622
2018/11/07,692.32
2018/11/08,686.754
2018/11/09,675.095
2018/11/10,626.928
2018/11/11,582.552
2018/11/12,610.065
2018/11/13,619.038
2018/11/14,717.999
2018/11/15,789.832
2018/11/16,773.507
2018/11/17,701.006
2018/11/18,699.339
2018/11/19,835.899
2018/11/20,942.583
2018/11/21,928.945
2018/11/22,851.708
2018/11/23,806.823
2018/11/24,745.747
2018/11/25,766.441
2018/11/26,748.557
2018/11/27,696.255
2018/11/28,681.156
2018/11/29,705.591
2018/11/30,1367
2018/12/01,1884
2018/12/02,1498
2018/12/03,1240
2018/12/04,1041
2018/12/05,911.086
2018/12/06,844.811
2018/12/07,821.661
2018/12/08,728.358
2018/12/09,656.15
2018/12/10,596.812
2018/12/11,555.585
2018/12/12,516.093
2018/12/13,505.897
2018/12/14,482.027
2018/12/15,431.426
2018/12/16,398.55
2018/12/17,435.986
2018/12/18,465.751
2018/12/19,539.13
2018/12/20,604.322
2018/12/21,665.697
2018/12/22,618.397
2018/12/23,641.301
2018/12/24,716.084
2018/12/25,683.99
2018/12/26,639.079
2018/12/27,640.691
2018/12/28,643.063
2018/12/29,724.17
2018/12/30,665.281
2018/12/31,636.773
2019/01/01,604.348
2019/01/02,627.067
2019/01/03,629.709
2019/01/04,738.348
2019/01/05,878.666
2019/01/06,851.295
2019/01/07,823.083
2019/01/08,777.281
2019/01/09,732.432
2019/01/10,734.651
2019/01/11,779.447
2019/01/12,688.557
2019/01/13,629.116
2019/01/14,654.717
2019/01/15,631.752
2019/01/16,633.908
2019/01/17,602.659
2019/01/18,551.845
2019/01/19,497.589
2019/01/20,470.317
2019/01/21,445.22
2019/01/22,423.425
2019/01/23,427.238
2019/01/24,453.863
2019/01/25,453.902
2019/01/26,421.511
2019/01/27,426.018
2019/01/28,472.062
2019/01/29,460.199
2019/01/30,459.72
2019/01/31,467.861
2019/02/01,455.377
2019/02/02,414.235
2019/02/03,393.456
2019/02/04,361.216
2019/02/05,334.574
2019/02/06,356.964
2019/02/07,356.089
2019/02/08,392.776
2019/02/09,377.2
2019/02/10,395.667
2019/02/11,431.626
2019/02/12,429.787
2019/02/13,434.965
2019/02/14,433.5
2019/02/15,428.43
2019/02/16,394.367
2019/02/17,419.413
2019/02/18,522.049
2019/02/19,582.939
2019/02/20,590.615
2019/02/21,586.655
2019/02/22,586.689
2019/02/23,561.428
2019/02/24,626.589
2019/02/25,695.186
2019/02/26,637.788
2019/02/27,663.494
2019/02/28,646.659
2019/03/01,600.756
2019/03/02,544.892
2019/03/03,523.451
2019/03/04,521.151
2019/03/05,519.094
2019/03/06,520.221
2019/03/07,518.431
2019/03/08,535.303
2019/03/09,513.918
2019/03/10,506.195
2019/03/11,533.776
2019/03/12,540.059
2019/03/13,524.34
2019/03/14,524.871
2019/03/15,527.279
2019/03/16,530.457
2019/03/17,520.991
2019/03/18,547.55
2019/03/19,514.087
2019/03/20,544.322
2019/03/21,547.179
2019/03/22,523.049
2019/03/23,548.61
2019/03/24,522.229
2019/03/25,541.415
2019/03/26,541.877
2019/03/27,532.993
2019/03/28,527.029
2019/03/29,537.344
2019/03/30,538.032
2019/03/31,522.102
2019/04/01,518.163
2019/04/02,596.269
2019/04/03,684.074
2019/04/04,686.367
2019/04/05,691.514
2019/04/06,656.961
2019/04/07,669.971
2019/04/08,758.264
2019/04/09,794.465
2019/04/10,785.294
2019/04/11,758.237
2019/04/12,717.203
2019/04/13,641.451
2019/04/14,609.653
2019/04/15,626.631
2019/04/16,608.037
2019/04/17,592.25
2019/04/18,607.013
2019/04/19,599.072
2019/04/20,568.187
2019/04/21,561.43
2019/04/22,563.967
2019/04/23,586.502
2019/04/24,656.002
2019/04/25,681.467
2019/04/26,776.919
2019/04/27,716.653
2019/04/28,692.706
2019/04/29,710.332
2019/04/30,699.035
2019/05/01,674.214
2019/05/02,640.725
2019/05/03,637.216
2019/05/04,608.535
2019/05/05,576.006
2019/05/06,609.279
2019/05/07,684.31
2019/05/08,706.69
2019/05/09,697.897
2019/05/10,691.115
2019/05/11,801.651
2019/05/12,793.677
2019/05/13,848.697
2019/05/14,856.388
2019/05/15,943.594
2019/05/16,1215
2019/05/17,1250
2019/05/18,1123
2019/05/19,1043
2019/05/20,1011
2019/05/21,978.977
2019/05/22,943.578
2019/05/23,926.919
2019/05/24,866.486
2019/05/25,789.248
2019/05/26,792.931
2019/05/27,827.63
2019/05/28,810.798
2019/05/29,880.547
2019/05/30,942.358
2019/05/31,965.023
2019/06/01,854.757
2019/06/02,760.75
2019/06/03,783.093
2019/06/04,812.942
2019/06/05,870.856
2019/06/06,804.063
2019/06/07,770.746
2019/06/08,656.617
2019/06/09,642.527
2019/06/10,636.761
2019/06/11,621.422
2019/06/12,644.321
2019/06/13,718.672
2019/06/14,750.508
2019/06/15,818.915
2019/06/16,836.579
2019/06/17,795.748
2019/06/18,823.512
2019/06/19,843.746
2019/06/20,792.747
2019/06/21,874.644
2019/06/22,941.224
2019/06/23,921.754
2019/06/24,931.371
2019/06/25,939.254
2019/06/26,1073
2019/06/27,1158
2019/06/28,1072
2019/06/29,1071
2019/06/30,1023
2019/07/01,954.883
2019/07/02,899.637
2019/07/03,876.726
2019/07/04,829.673
2019/07/05,760.747
2019/07/06,680.802
2019/07/07,691.188
2019/07/08,686.611
2019/07/09,944.182
2019/07/10,961.885
2019/07/11,982.621
2019/07/12,911.816
2019/07/13,802.736
2019/07/14,827.207
2019/07/15,852.298
2019/07/16,778.454
2019/07/17,764.558
2019/07/18,769.145
2019/07/19,710.448
2019/07/20,667.463
2019/07/21,620.273
2019/07/22,606.853
2019/07/23,593.245
2019/07/24,535.202
2019/07/25,497.705
2019/07/26,589.358
2019/07/27,548.394
2019/07/28,500.114
2019/07/29,508.631
2019/07/30,507.294
2019/07/31,511.67
2019/08/01,561.889
2019/08/02,557.628
2019/08/03,507.514
2019/08/04,474.659
2019/08/05,583.418
2019/08/06,616.073
2019/08/07,597.676
